"Gene" "Type"
"MIR6727" "miRNA"
"AL139287.1" "lncRNA"
"CPTP" "protein_coding"
"TAS1R3" "protein_coding"
"DVL1" "protein_coding"
"MIR6808" "miRNA"
"MXRA8" "protein_coding"
"AURKAIP1" "protein_coding"
"NDUFB4P8" "processed_pseudogene"
"CCNL2" "protein_coding"
"MRPL20-AS1" "lncRNA"
"MRPL20" "protein_coding"
"RN7SL657P" "misc_RNA"
"AL391244.2" "lncRNA"
"ANKRD65" "protein_coding"
"AL391244.1" "lncRNA"
"TMEM88B" "protein_coding"
"LINC01770" "lncRNA"
"VWA1" "protein_coding"
"ATAD3C" "protein_coding"
"ATAD3B" "protein_coding"
"AL645728.2" "transcribed_unprocessed_pseudogene"
"ATAD3A" "protein_coding"
"TMEM240" "protein_coding"
"SSU72" "protein_coding"
"AL645728.1" "lncRNA"
"AL691432.3" "processed_pseudogene"
"FNDC10" "protein_coding"
"AL691432.4" "lncRNA"
"AL691432.2" "lncRNA"
"MIB2" "protein_coding"
"MMP23B" "protein_coding"
"CDK11B" "protein_coding"
"FO704657.1" "lncRNA"
"SLC35E2B" "protein_coding"
"AL691432.1" "transcribed_processed_pseudogene"
"MMP23A" "unprocessed_pseudogene"
"CDK11A" "protein_coding"
"AL031282.2" "lncRNA"
"AL031282.1" "transcribed_processed_pseudogene"
"SLC35E2A" "protein_coding"
"NADK" "protein_coding"
"GNB1" "protein_coding"
"AL109917.1" "lncRNA"
"CALML6" "protein_coding"
"TMEM52" "protein_coding"
"CFAP74" "protein_coding"
"AL391845.2" "lncRNA"
"GABRD" "protein_coding"
"AL391845.1" "lncRNA"
"PRKCZ" "protein_coding"
"AL590822.2" "lncRNA"
"PRKCZ-AS1" "lncRNA"
"FAAP20" "protein_coding"
"AL590822.1" "lncRNA"
"SKI" "protein_coding"
"AL590822.3" "lncRNA"
"MORN1" "protein_coding"
"AL589739.1" "lncRNA"
"AL513477.1" "transcribed_processed_pseudogene"
"AL513477.2" "lncRNA"
"RER1" "protein_coding"
"PEX10" "protein_coding"
"PLCH2" "protein_coding"
"AL139246.1" "lncRNA"
"AL139246.4" "lncRNA"
"PANK4" "protein_coding"
"HES5" "protein_coding"
"AL139246.5" "lncRNA"
"TNFRSF14-AS1" "lncRNA"
"TNFRSF14" "protein_coding"
"AL139246.2" "TEC"
"AL139246.3" "lncRNA"
"PRXL2B" "protein_coding"
"MMEL1" "protein_coding"
"MMEL1-AS1" "lncRNA"
"TTC34" "protein_coding"
"AC242022.2" "lncRNA"
"AC242022.1" "lncRNA"
"AL592464.2" "lncRNA"
"AL592464.3" "lncRNA"
"AL592464.1" "lncRNA"
"AL589702.1" "lncRNA"
"ACTRT2" "protein_coding"
"PRDM16-DT" "lncRNA"
"PRDM16" "protein_coding"
"MIR4251" "miRNA"
"AL008733.1" "lncRNA"
"AL512383.1" "TEC"
"AL590438.1" "lncRNA"
"AL354743.2" "lncRNA"
"AL354743.1" "lncRNA"
"ARHGEF16" "protein_coding"
"AL512413.1" "lncRNA"
"MEGF6" "protein_coding"
"MIR551A" "miRNA"
"AL513320.1" "lncRNA"
"TPRG1L" "protein_coding"
"WRAP73" "protein_coding"
"TP73" "protein_coding"
"AL136528.1" "lncRNA"
"AL136528.2" "lncRNA"
"TP73-AS1" "transcribed_unitary_pseudogene"
"AL136528.3" "misc_RNA"
"CCDC27" "protein_coding"
"SMIM1" "protein_coding"
"LRRC47" "protein_coding"
"RN7SL574P" "misc_RNA"
"AL365330.1" "lncRNA"
"CEP104" "protein_coding"
"DFFB" "protein_coding"
"C1orf174" "protein_coding"
"LINC01134" "lncRNA"
"LINC01346" "lncRNA"
"LINC01345" "lncRNA"
"LINC02780" "lncRNA"
"AL805961.1" "lncRNA"
"EEF1DP6" "processed_pseudogene"
"LINC01777" "lncRNA"
"AL355602.1" "lncRNA"
"Z98747.1" "lncRNA"
"LINC01646" "lncRNA"
"AJAP1" "protein_coding"
"Z98886.1" "lncRNA"
"BX005132.1" "lncRNA"
"LINC02781" "lncRNA"
"LINC02782" "lncRNA"
"AL139823.1" "lncRNA"
"Z98259.3" "lncRNA"
"Z98259.2" "lncRNA"
"Z98259.1" "lncRNA"
"Z97988.2" "unprocessed_pseudogene"
"AL365255.1" "lncRNA"
"Z97988.1" "miRNA"
"MIR4689" "miRNA"
"NPHP4" "protein_coding"
"KCNAB2" "protein_coding"
"CHD5" "protein_coding"
"AL031847.2" "protein_coding"
"RPL22" "protein_coding"
"AL031847.1" "lncRNA"
"RNF207" "protein_coding"
"ICMT" "protein_coding"
"LINC00337" "lncRNA"
"HES3" "protein_coding"
"GPR153" "protein_coding"
"ACOT7" "protein_coding"
"AL031848.2" "lncRNA"
"HES2" "protein_coding"
"ESPN" "protein_coding"
"MIR4252" "miRNA"
"AL031848.1" "lncRNA"
"TNFRSF25" "protein_coding"
"PLEKHG5" "protein_coding"
"NOL9" "protein_coding"
"RNU6-731P" "snRNA"
"AL591866.1" "processed_pseudogene"
"TAS1R1" "protein_coding"
"ZBTB48" "protein_coding"
"KLHL21" "protein_coding"
"PHF13" "protein_coding"
"THAP3" "protein_coding"
"DNAJC11" "protein_coding"
"LINC01672" "lncRNA"
"AL591163.1" "lncRNA"
"CAMTA1-DT" "lncRNA"
"CAMTA1" "protein_coding"
"AL590128.1" "processed_pseudogene"
"AL512330.1" "lncRNA"
"RNU1-8P" "snRNA"
"CAMTA1-IT1" "lncRNA"
"CAMTA1-AS2" "lncRNA"
"CAMTA1-AS1" "lncRNA"
"AL359881.3" "lncRNA"
"AL359881.2" "lncRNA"
"AL359881.1" "lncRNA"
"VAMP3" "protein_coding"
"Z98884.2" "lncRNA"
"PER3" "protein_coding"
"Z98884.1" "lncRNA"
"UTS2" "protein_coding"
"TNFRSF9" "protein_coding"
"AL009183.1" "processed_pseudogene"
"PARK7" "protein_coding"
"AL034417.1" "misc_RNA"
"AL034417.5" "lncRNA"
"AL034417.4" "lncRNA"
"ERRFI1" "protein_coding"
"AL034417.3" "lncRNA"
"AL034417.2" "processed_pseudogene"
"AL358876.1" "processed_pseudogene"
"LINC01714" "lncRNA"
"RNU1-7P" "snRNA"
"AL358876.2" "lncRNA"
"RNU6-991P" "snRNA"
"SLC45A1" "protein_coding"
"AL356072.1" "misc_RNA"
"RERE" "protein_coding"
"RERE-AS1" "lncRNA"
"AL096855.1" "snoRNA"
"AL096855.2" "processed_pseudogene"
"RPL7P11" "processed_pseudogene"
"RPL7P7" "processed_pseudogene"
"AL357552.1" "misc_RNA"
"AL357552.2" "unprocessed_pseudogene"
"AL357552.3" "lncRNA"
"RPL23AP19" "processed_pseudogene"
"ENO1" "protein_coding"
"MIR6728" "miRNA"
"ENO1-AS1" "lncRNA"
"RNU6-304P" "snRNA"
"HMGN2P17" "processed_pseudogene"
"AL139415.1" "processed_pseudogene"
"AL139415.2" "processed_pseudogene"
"CA6" "protein_coding"
"RN7SL451P" "misc_RNA"
"SLC2A7" "protein_coding"
"SLC2A5" "protein_coding"
"AL158048.1" "scaRNA"
"GPR157" "protein_coding"
"MIR34AHG" "lncRNA"
"MIR34A" "miRNA"
"LNCTAM34A" "lncRNA"
"H6PD" "protein_coding"
"SPSB1" "protein_coding"
"BX323043.1" "lncRNA"
"LINC02606" "lncRNA"
"RNA5SP40" "rRNA_pseudogene"
"AL928921.1" "lncRNA"
"SLC25A33" "protein_coding"
"AL954705.1" "processed_pseudogene"
"TMEM201" "protein_coding"
"PIK3CD" "protein_coding"
"PIK3CD-AS1" "lncRNA"
"AL691449.1" "processed_pseudogene"
"PIK3CD-AS2" "lncRNA"
"CLSTN1" "protein_coding"
"MZT1P1" "processed_pseudogene"
"AL357140.3" "TEC"
"CTNNBIP1" "protein_coding"
"AL357140.1" "lncRNA"
"AL357140.4" "lncRNA"
"LZIC" "protein_coding"
"AL357140.2" "lncRNA"
"NMNAT1" "protein_coding"
"RN7SKP269" "misc_RNA"
"TMEM274P" "unitary_pseudogene"
"MIR5697" "miRNA"
"AL603962.1" "lncRNA"
"RBP7" "protein_coding"
"UBE4B" "protein_coding"
"AL590639.1" "processed_pseudogene"
"PGAM1P11" "processed_pseudogene"
"RNU6-828P" "snRNA"
"KIF1B" "protein_coding"
"AL358013.1" "miRNA"
"RNU6-37P" "snRNA"
"RN7SL731P" "misc_RNA"
"AL139424.3" "lncRNA"
"AL139424.2" "lncRNA"
"PGD" "protein_coding"
"AL139424.1" "lncRNA"
"CENPS-CORT" "protein_coding"
"CENPS" "protein_coding"
"CORT" "protein_coding"
"DFFA" "protein_coding"
"AL354956.1" "lncRNA"
"PEX14" "protein_coding"
"AL139423.2" "lncRNA"
"RN7SL614P" "misc_RNA"
"CASZ1" "protein_coding"
"AL139423.1" "lncRNA"
"HSPE1P24" "processed_pseudogene"
"C1orf127" "protein_coding"
"CFL1P6" "processed_pseudogene"
"TARDBP" "protein_coding"
"AL109811.3" "protein_coding"
"MASP2" "protein_coding"
"AL109811.2" "lncRNA"
"SRM" "protein_coding"
"EXOSC10" "protein_coding"
"AL109811.1" "lncRNA"
"EXOSC10-AS1" "lncRNA"
"MTOR" "protein_coding"
"MTOR-AS1" "lncRNA"
"RNU6-537P" "snRNA"
"ANGPTL7" "protein_coding"
"RNU6-291P" "snRNA"
"RPL39P6" "processed_pseudogene"
"UBIAD1" "protein_coding"
"UBE2V2P3" "processed_pseudogene"
"AL031291.1" "lncRNA"
"MTCYBP45" "processed_pseudogene"
"DISP3" "protein_coding"
"AL590989.1" "lncRNA"
"LINC01647" "lncRNA"
"AL031731.1" "lncRNA"
"FBXO2" "protein_coding"
"FBXO44" "protein_coding"
"FBXO6" "protein_coding"
"MAD2L2" "protein_coding"
"DRAXIN" "protein_coding"
"AGTRAP" "protein_coding"
"C1orf167" "protein_coding"
"C1orf167-AS1" "lncRNA"
"MTHFR" "protein_coding"
"CLCN6" "protein_coding"
"AL021155.3" "misc_RNA"
"AL021155.4" "misc_RNA"
"NPPA" "protein_coding"
"AL021155.2" "misc_RNA"
"NPPB" "protein_coding"
"AL021155.1" "processed_pseudogene"
"AL021155.5" "lncRNA"
"RNU5E-1" "snRNA"
"RNU5E-4P" "snRNA"
"KIAA2013" "protein_coding"
"PLOD1" "protein_coding"
"AL096840.3" "lncRNA"
"MFN2" "protein_coding"
"AL096840.2" "processed_pseudogene"
"MIIP" "protein_coding"
"AL096840.1" "misc_RNA"
"MIR6729" "miRNA"
"RN7SL649P" "misc_RNA"
"TNFRSF8" "protein_coding"
"RNU6-777P" "snRNA"
"RPL23AP89" "processed_pseudogene"
"AL357835.1" "lncRNA"
"MIR7846" "miRNA"
"TNFRSF1B" "protein_coding"
"MIR4632" "miRNA"
"RPL10P17" "processed_pseudogene"
"AL031276.1" "snoRNA"
"VPS13D" "protein_coding"
"SNORA59A" "snoRNA"
"LINC02766" "lncRNA"
"DHRS3" "protein_coding"
"RNU6ATAC18P" "snRNA"
"MIR6730" "miRNA"
"AC254633.1" "lncRNA"
"AADACL4" "protein_coding"
"AC244670.1" "processed_pseudogene"
"AADACL3" "protein_coding"
"C1orf158" "protein_coding"
"PRAMEF12" "protein_coding"
"PRAMEF1" "protein_coding"
"LINC01784" "lncRNA"
"PRAMEF11" "protein_coding"
"PRAMEF30P" "unprocessed_pseudogene"
"HNRNPCL1" "protein_coding"
"PRAMEF2" "protein_coding"
"PRAMEF4" "protein_coding"
"PRAMEF10" "protein_coding"
"PRAMEF7" "protein_coding"
"RNU6-1072P" "snRNA"
"PRAMEF29P" "unprocessed_pseudogene"
"PRAMEF6" "protein_coding"
"PRAMEF28P" "unprocessed_pseudogene"
"PRAMEF27" "protein_coding"
"HNRNPCL3" "protein_coding"
"PRAMEF25" "protein_coding"
"PRAMEF34P" "unprocessed_pseudogene"
"PRAMEF35P" "unprocessed_pseudogene"
"HNRNPCL2" "protein_coding"
"PRAMEF36P" "transcribed_unprocessed_pseudogene"
"AC245056.1" "lncRNA"
"PRAMEF26" "protein_coding"
"HNRNPCL4" "protein_coding"
"PRAMEF9" "protein_coding"
"PRAMEF13" "protein_coding"
"PRAMEF18" "protein_coding"
"PRAMEF31P" "unprocessed_pseudogene"
"PRAMEF5" "protein_coding"
"PRAMEF32P" "unprocessed_pseudogene"
"RNU6-771P" "snRNA"
"PRAMEF8" "protein_coding"
"PRAMEF33" "protein_coding"
"PRAMEF15" "protein_coding"
"AC243961.1" "lncRNA"
"PRAMEF14" "protein_coding"
"PRAMEF19" "protein_coding"
"PRAMEF17" "protein_coding"
"PRAMEF20" "protein_coding"
"LRRC38" "protein_coding"
"AL354712.1" "lncRNA"
"BRWD1P1" "processed_pseudogene"
"PDPN" "protein_coding"
"RNA5SP41" "rRNA_pseudogene"
"AL359771.1" "lncRNA"
"AL359771.2" "scaRNA"
"PRDM2" "protein_coding"
"KAZN" "protein_coding"
"RNU6-1265P" "snRNA"
"AL357873.1" "lncRNA"
"KAZN-AS1" "lncRNA"
"TBCAP2" "processed_pseudogene"
"AL031293.1" "lncRNA"
"TMEM51-AS1" "lncRNA"
"TMEM51" "protein_coding"
"C1orf195" "lncRNA"
"AL035405.1" "processed_pseudogene"
"AL391094.1" "processed_pseudogene"
"FHAD1" "protein_coding"
"FHAD1-AS1" "lncRNA"
"AL031283.2" "lncRNA"
"AL031283.1" "lncRNA"
"EFHD2" "protein_coding"
"CTRC" "protein_coding"
"CELA2A" "protein_coding"
"CELA2B" "protein_coding"
"CASP9" "protein_coding"
"DNAJC16" "protein_coding"
"SCARNA21B" "scaRNA"
"AL121992.3" "lncRNA"
"AGMAT" "protein_coding"
"AL121992.1" "lncRNA"
"CHCHD2P6" "processed_pseudogene"
"RNU7-179P" "snRNA"
"CD24P1" "processed_pseudogene"
"DDI2" "protein_coding"
"RSC1A1" "protein_coding"
"AL121992.2" "lncRNA"
"PLEKHM2" "protein_coding"
"AL450998.3" "lncRNA"
"SLC25A34" "protein_coding"
"SLC25A34-AS1" "lncRNA"
"TMEM82" "protein_coding"
"FBLIM1" "protein_coding"
"RPL12P14" "processed_pseudogene"
"UQCRHL" "protein_coding"
"AL450998.1" "processed_pseudogene"
"AL450998.2" "lncRNA"
"SPEN" "protein_coding"
"AL034555.1" "unprocessed_pseudogene"
"ZBTB17" "protein_coding"
"AL355994.4" "processed_pseudogene"
"AL355994.1" "unprocessed_pseudogene"
"AL355994.5" "processed_pseudogene"
"TBC1D3P6" "unprocessed_pseudogene"
"SRARP" "protein_coding"
"AL355994.3" "lncRNA"
"HSPB7" "protein_coding"
"CLCNKA" "protein_coding"
"AL355994.2" "unprocessed_pseudogene"
"CLCNKB" "protein_coding"
"FAM131C" "protein_coding"
"EPHA2" "protein_coding"
"AL451042.2" "lncRNA"
"AL451042.1" "lncRNA"
"ARHGEF19-AS1" "lncRNA"
"ARHGEF19" "protein_coding"
"ANO7L1" "transcribed_unprocessed_pseudogene"
"AL109627.1" "lncRNA"
"CPLANE2" "protein_coding"
"MT1XP1" "processed_pseudogene"
"FBXO42" "protein_coding"
"SZRD1" "protein_coding"
"RPL22P3" "processed_pseudogene"
"SPATA21" "protein_coding"
"NECAP2" "protein_coding"
"LINC01772" "lncRNA"
"CROCCP3" "transcribed_unprocessed_pseudogene"
"RNU1-1" "snRNA"
"AL137802.2" "lncRNA"
"AL137802.3" "lncRNA"
"AL137802.1" "lncRNA"
"LINC01783" "lncRNA"
"RNU1-6P" "snRNA"
"AL355149.1" "unprocessed_pseudogene"
"NBPF1" "protein_coding"
"AL137798.1" "lncRNA"
"CROCCP2" "transcribed_unprocessed_pseudogene"
"AL137798.3" "transcribed_unprocessed_pseudogene"
"MST1P2" "unprocessed_pseudogene"
"AL137798.2" "lncRNA"
"RNU1-3" "snRNA"
"AL021920.2" "unprocessed_pseudogene"
"EIF1AXP1" "processed_pseudogene"
"ESPNP" "transcribed_unprocessed_pseudogene"
"AL021920.1" "lncRNA"
"AL021920.3" "lncRNA"
"CROCC" "protein_coding"
"CROCCP4" "transcribed_unprocessed_pseudogene"
"RNU1-4" "snRNA"
"MST1L" "transcribed_unprocessed_pseudogene"
"BX284668.1" "lncRNA"
"BX284668.3" "unprocessed_pseudogene"
"MIR3675" "miRNA"
"BX284668.2" "lncRNA"
"RNU1-5P" "snRNA"
"BX284668.5" "lncRNA"
"BX284668.4" "processed_pseudogene"
"RNU1-2" "snRNA"
"BX284668.6" "lncRNA"
"MFAP2" "protein_coding"
"AL049569.2" "lncRNA"
"AL049569.1" "lncRNA"
"ATP13A2" "protein_coding"
"SDHB" "protein_coding"
"PADI2" "protein_coding"
"LINC02783" "lncRNA"
"AL590644.1" "lncRNA"
"PADI1" "protein_coding"
"PADI3" "protein_coding"
"MIR3972" "miRNA"
"PADI4" "protein_coding"
"PADI6" "protein_coding"
"RCC2" "protein_coding"
"RCC2-AS1" "lncRNA"
"ARHGEF10L" "protein_coding"
"LINC02810" "lncRNA"
"ACTL8" "protein_coding"
"AL357509.1" "lncRNA"
"LINC01654" "lncRNA"
"IGSF21" "protein_coding"
"AL365209.1" "TEC"
"IGSF21-AS1" "lncRNA"
"AL591896.1" "lncRNA"
"KLHDC7A" "protein_coding"
"DYNLL1P3" "processed_pseudogene"
"AL031737.1" "processed_pseudogene"
"PAX7" "protein_coding"
"TAS1R2" "protein_coding"
"ALDH4A1" "protein_coding"
"MIR4695" "miRNA"
"MIR1290" "miRNA"
"IFFO2" "protein_coding"
"AL137127.1" "lncRNA"
"UBR4" "protein_coding"
"EMC1-AS1" "lncRNA"
"EMC1" "protein_coding"
"MRTO4" "protein_coding"
"AL035413.2" "unprocessed_pseudogene"
"AKR7L" "polymorphic_pseudogene"
"AKR7A3" "protein_coding"
"AL035413.1" "processed_pseudogene"
"AKR7A2" "protein_coding"
"RNU6-1099P" "snRNA"
"SLC66A1" "protein_coding"
"CAPZB" "protein_coding"
"RN7SL277P" "misc_RNA"
"MICOS10" "protein_coding"
"RNU4-28P" "snRNA"
"AL031727.2" "lncRNA"
"NBL1" "protein_coding"
"MICOS10-NBL1" "protein_coding"
"AL031727.1" "processed_pseudogene"
"HTR6" "protein_coding"
"TMCO4" "protein_coding"
"RNF186" "protein_coding"
"AL391883.1" "lncRNA"
"OTUD3" "protein_coding"
"PLA2G2E" "protein_coding"
"RN7SL304P" "misc_RNA"
"PLA2G2A" "protein_coding"
"PLA2G5" "protein_coding"
"PLA2G2D" "protein_coding"
"PLA2G2F" "protein_coding"
"Z98257.1" "lncRNA"
"PLA2G2C" "protein_coding"
"UBXN10-AS1" "lncRNA"
"UBXN10" "protein_coding"
"LINC01757" "lncRNA"
"Z98257.2" "lncRNA"
"VWA5B1" "protein_coding"
"AL020998.1" "lncRNA"
"LINC01141" "lncRNA"
"AL139254.1" "lncRNA"
"AL139254.2" "lncRNA"
"AL139254.3" "lncRNA"
"CAMK2N1" "protein_coding"
"MUL1" "protein_coding"
"RPS4XP4" "processed_pseudogene"
"FAM43B" "protein_coding"
"CDA" "protein_coding"
"PINK1" "protein_coding"
"MIR6084" "miRNA"
"PINK1-AS" "lncRNA"
"DDOST" "protein_coding"
"KIF17" "protein_coding"
"AL663074.2" "unprocessed_pseudogene"
"SH2D5" "protein_coding"
"AL663074.1" "lncRNA"
"HP1BP3" "protein_coding"
"EIF4G3" "protein_coding"
"RNU7-200P" "snRNA"
"MIR1256" "miRNA"
"RPS15AP6" "processed_pseudogene"
"AL627311.1" "processed_pseudogene"
"HSPE1P27" "processed_pseudogene"
"AL031005.2" "lncRNA"
"ECE1" "protein_coding"
"AL031005.1" "lncRNA"
"ECE1-AS1" "lncRNA"
"PPP1R11P1" "processed_pseudogene"
"AL592309.1" "unprocessed_pseudogene"
"AL592309.2" "lncRNA"
"NBPF2P" "unprocessed_pseudogene"
"HS6ST1P1" "processed_pseudogene"
"CROCCP5" "unprocessed_pseudogene"
"NBPF3" "protein_coding"
"PFN1P10" "processed_pseudogene"
"ALPL" "protein_coding"
"LINC02596" "lncRNA"
"RAP1GAP" "protein_coding"
"USP48" "protein_coding"
"AL590103.1" "processed_pseudogene"
"LDLRAD2" "protein_coding"
"HSPG2" "protein_coding"
"AL590556.1" "processed_pseudogene"
"AL590556.2" "transcribed_unitary_pseudogene"
"CELA3B" "protein_coding"
"AL590556.3" "lncRNA"
"RN7SL386P" "misc_RNA"
"RNU6-1022P" "snRNA"
"CELA3A" "protein_coding"
"RN7SL186P" "misc_RNA"
"RNU6-776P" "snRNA"
"LINC01635" "lncRNA"
"LINC00339" "lncRNA"
"CDC42" "protein_coding"
"CDC42-AS1" "lncRNA"
"AL031281.2" "transcribed_processed_pseudogene"
"CDC42-IT1" "lncRNA"
"AL031281.1" "processed_pseudogene"
"WNT4" "protein_coding"
"AL445253.1" "lncRNA"
"MIR4418" "miRNA"
"PPIAP34" "processed_pseudogene"
"AL591122.1" "TEC"
"ZBTB40" "protein_coding"
"ZBTB40-IT1" "lncRNA"
"EPHA8" "protein_coding"
"MIR6127" "miRNA"
"C1QA" "protein_coding"
"C1QC" "protein_coding"
"C1QB" "protein_coding"
"EPHB2" "protein_coding"
"MIR4684" "miRNA"
"AL512444.1" "lncRNA"
"MIR4253" "miRNA"
"LACTBL1" "protein_coding"
"TEX46" "protein_coding"
"KDM1A" "protein_coding"
"AL031428.1" "lncRNA"
"MIR3115" "miRNA"
"AL031428.2" "miRNA"
"LUZP1" "protein_coding"
"AL161672.1" "processed_pseudogene"
"RNU6-514P" "snRNA"
"RNU6-135P" "snRNA"
"HTR1D" "protein_coding"
"AL109936.2" "processed_pseudogene"
"LINC01355" "lncRNA"
"AL109936.8" "lncRNA"
"HNRNPR" "protein_coding"
"ZNF436" "protein_coding"
"ZNF436-AS1" "lncRNA"
"AL109936.1" "misc_RNA"
"AL109936.3" "lncRNA"
"TCEA3" "protein_coding"
"AL357134.1" "processed_pseudogene"
"ASAP3" "protein_coding"
"E2F2" "protein_coding"
"AL021154.1" "lncRNA"
"ID3" "protein_coding"
"AL450043.1" "lncRNA"
"MDS2" "lncRNA"
"AL451000.1" "unprocessed_pseudogene"
"RPL11" "protein_coding"
"ELOA-AS1" "lncRNA"
"ELOA" "protein_coding"
"PITHD1" "protein_coding"
"LYPLA2" "protein_coding"
"GALE" "protein_coding"
"HMGCL" "protein_coding"
"FUCA1" "protein_coding"
"CNR2" "protein_coding"
"BTBD6P1" "processed_pseudogene"
"AL590609.2" "lncRNA"
"MIR378F" "miRNA"
"H3P1" "processed_pseudogene"
"PNRC2" "protein_coding"
"SRSF10" "protein_coding"
"AL590609.1" "processed_pseudogene"
"AL591178.1" "lncRNA"
"MYOM3" "protein_coding"
"MYOM3-AS1" "lncRNA"
"IL22RA1" "protein_coding"
"IFNLR1" "protein_coding"
"LINC02800" "lncRNA"
"GRHL3-AS1" "lncRNA"
"GRHL3" "protein_coding"
"STPG1" "protein_coding"
"NIPAL3" "protein_coding"
"RCAN3AS" "lncRNA"
"RCAN3" "protein_coding"
"NCMAP-DT" "lncRNA"
"NCMAP" "protein_coding"
"AL445686.1" "processed_pseudogene"
"AL445686.2" "misc_RNA"
"SRRM1" "protein_coding"
"AL445648.1" "lncRNA"
"CLIC4" "protein_coding"
"RNU6-1208P" "snRNA"
"RUNX3" "protein_coding"
"MIR6731" "miRNA"
"AL445471.1" "lncRNA"
"AL445471.2" "lncRNA"
"MIR4425" "miRNA"
"LINC02793" "lncRNA"
"AL050344.1" "lncRNA"
"AL121994.1" "processed_pseudogene"
"AL031432.1" "lncRNA"
"SYF2" "protein_coding"
"AL031432.4" "lncRNA"
"AL031432.5" "lncRNA"
"RSRP1" "protein_coding"
"AL031432.3" "lncRNA"
"AL031432.2" "unprocessed_pseudogene"
"RHD" "protein_coding"
"SDHDP6" "processed_pseudogene"
"AL928711.1" "unprocessed_pseudogene"
"TMEM50A" "protein_coding"
"RHCE" "protein_coding"
"AL031284.1" "processed_pseudogene"
"MACO1" "protein_coding"
"LDLRAP1" "protein_coding"
"AL606491.1" "lncRNA"
"MAN1C1" "protein_coding"
"AL031280.1" "lncRNA"
"SELENON" "protein_coding"
"AL020996.2" "protein_coding"
"AL020996.1" "lncRNA"
"MTFR1L" "protein_coding"
"AUNIP" "protein_coding"
"AL020996.3" "lncRNA"
"AL033528.3" "lncRNA"
"PAQR7" "protein_coding"
"AL033528.1" "misc_RNA"
"STMN1" "protein_coding"
